algorithm,pop_size,n_gen,cross_prob,mut_prob,sla_violations,overall_allocation_cost,overloaded_data_centers,norm_sla_violations,norm_overall_allocation_cost
nsgaii,400,1300,1.0,0.1,5.0,75000.0,0,0.02631578947368421,0.0
nsgaii,300,700,1.0,0.8,34.0,84000.0,0,0.7894736842105263,0.42857142857142855
nsgaii,400,200,1.0,0.1,13.0,75400.0,0,0.23684210526315788,0.01904761904761905
nsgaii,400,1500,1.0,1.0,30.0,84400.0,0,0.6842105263157895,0.44761904761904764
nsgaii,400,1500,1.0,0.4,22.0,79100.0,0,0.47368421052631576,0.19523809523809524
nsgaii,400,1000,1.0,1.0,25.0,87600.0,0,0.5526315789473685,0.6
nsgaii,400,700,1.0,0.4,15.0,82000.0,0,0.2894736842105263,0.3333333333333333
nsgaii,400,100,1.0,0.9,27.0,93300.0,0,0.6052631578947368,0.8714285714285714
nsgaii,400,1100,1.0,0.5,11.0,95300.0,0,0.18421052631578946,0.9666666666666667
nsgaii,300,500,1.0,0.4,25.0,81100.0,0,0.5526315789473685,0.2904761904761905
nsgaii,300,1000,1.0,0.9,36.0,84700.0,0,0.8421052631578947,0.46190476190476193
nsgaii,400,300,1.0,0.4,15.0,87800.0,0,0.2894736842105263,0.6095238095238096
nsgaii,400,600,1.0,0.8,41.0,84300.0,0,0.9736842105263158,0.44285714285714284
nsgaii,300,200,1.0,1.0,41.0,86900.0,0,0.9736842105263158,0.5666666666666667
nsgaii,300,400,1.0,0.9,30.0,86200.0,0,0.6842105263157895,0.5333333333333333
nsgaii,400,1100,1.0,0.8,16.0,89400.0,0,0.3157894736842105,0.6857142857142857
nsgaii,400,100,1.0,1.0,37.0,88400.0,0,0.868421052631579,0.638095238095238
nsgaii,300,200,1.0,0.8,24.0,89400.0,0,0.5263157894736842,0.6857142857142857
nsgaii,400,500,1.0,0.6,16.0,90300.0,0,0.3157894736842105,0.7285714285714285
nsgaii,300,500,1.0,0.2,5.0,83000.0,0,0.02631578947368421,0.38095238095238093
nsgaii,400,400,1.0,0.1,6.0,75600.0,0,0.05263157894736842,0.02857142857142857
nsgaii,400,400,1.0,1.0,39.0,85400.0,0,0.9210526315789473,0.49523809523809526
nsgaii,400,600,1.0,0.7,20.0,87600.0,0,0.42105263157894735,0.6
